SalesKey,OrderDate,ShipDate,CustomerKey,ProductKey,StoreKey,ChannelKey,PromotionKey,OrderNumber,Quantity,UnitPrice,UnitCost,DiscountAmount,SalesAmount,MarginAmount,ReturnedFlag
1,2024-05-06,2024-05-08,152,42,5,1,,SO-20230001,5,22.60,12.01,0.00,113.00,52.95,False
2,2024-08-12,2024-08-14,21,30,8,2,2,SO-20230002,3,23.90,8.35,5.74,65.96,40.91,False
3,2023-05-09,2023-05-11,12,8,12,2,,SO-20230003,1,35.10,15.46,0.00,35.10,19.64,False
4,2023-10-03,2023-10-07,18,21,5,2,8,SO-20230004,6,22.30,9.21,10.70,123.10,67.84,False
5,2024-03-17,2024-03-21,112,33,6,2,6,SO-20230005,2,27.00,13.50,2.70,51.30,24.30,False
6,2024-03-12,2024-03-16,50,29,12,1,8,SO-20230006,7,15.90,7.78,8.90,102.40,47.94,False
7,2024-11-11,2024-11-13,136,16,10,2,8,SO-20230007,7,31.20,14.24,17.47,200.93,101.25,False
8,2023-05-24,2023-05-25,63,32,3,2,2,SO-20230008,4,24.90,11.80,11.95,87.65,40.45,False
9,2024-07-05,2024-07-09,10,16,9,1,,SO-20230009,4,28.45,14.24,0.00,113.80,56.84,False
10,2024-01-23,2024-01-24,64,4,12,2,,SO-20230010,1,22.75,10.58,0.00,22.75,12.17,False
11,2024-01-19,2024-01-22,138,37,6,3,4,SO-20230011,2,14.50,6.35,3.48,25.52,12.82,False
12,2024-10-31,2024-11-06,130,46,3,1,5,SO-20230012,5,10.60,5.91,4.24,48.76,19.21,False
13,2023-06-18,2023-06-23,15,38,12,2,1,SO-20230013,7,11.75,7.13,6.58,75.67,25.76,False
14,2024-08-23,2024-08-24,137,8,10,2,3,SO-20230014,4,33.85,15.46,6.77,128.63,66.79,False
15,2024-01-21,2024-01-24,130,39,12,2,4,SO-20230015,1,19.75,10.40,2.37,17.38,6.98,False
16,2024-12-08,2024-12-13,49,33,3,3,5,SO-20230016,5,22.75,13.50,13.65,100.10,32.60,False
17,2023-12-16,2023-12-19,174,23,9,3,5,SO-20230017,6,26.80,13.26,8.04,152.76,73.20,False
