BudgetKey,Date,DepartmentKey,AccountKey,ScenarioKey,BudgetAmount,BudgetFTE
1,2024-01-01,1,1,2,32663.00,2.65
2,2024-01-01,1,2,2,35433.00,2.25
3,2024-01-01,1,3,2,38178.00,2.20
4,2024-01-01,1,4,2,40898.00,1.30
5,2024-01-01,1,5,2,44893.00,1.60
6,2024-01-01,1,6,2,47213.00,2.70
7,2024-01-01,1,7,2,50783.00,2.10
8,2024-01-01,1,8,2,53528.00,2.30
9,2024-01-01,1,9,2,56548.00,2.20
10,2024-01-01,1,10,2,36529.00,1.65
11,2024-01-01,1,11,2,37264.00,2.05
12,2024-01-01,1,12,2,39974.00,3.00
13,2024-01-01,1,13,2,41309.00,1.60
14,2024-01-01,1,14,2,43494.00,1.25
15,2024-01-01,1,15,2,45504.00,1.35
16,2024-01-01,1,16,2,47389.00,1.35
17,2024-01-01,1,17,2,49524.00,1.70
18,2024-01-01,1,18,2,50734.00,1.90
19,2024-01-01,1,19,2,40596.40,2.85
20,2024-01-01,1,20,2,41937.40,2.00
21,2024-01-01,1,21,2,42628.40,2.85
22,2024-01-01,1,22,2,43919.40,2.30
23,2024-01-01,1,23,2,45185.40,2.20
24,2024-01-01,1,24,2,47551.40,1.45
25,2024-01-01,1,25,2,49217.40,2.00
26,2024-01-01,1,26,2,50558.40,2.15
27,2024-01-01,1,27,2,51474.40,1.70
28,2024-01-01,1,28,2,42613.80,2.30
29,2024-01-01,1,29,2,43890.80,1.35
30,2024-01-01,1,30,2,45192.80,2.35
31,2024-01-01,1,31,2,46494.80,2.35
32,2024-01-01,1,32,2,48046.80,1.25
33,2024-01-01,1,33,2,48573.80,2.60
34,2024-01-01,1,34,2,49875.80,1.45
35,2024-01-01,1,35,2,51502.80,1.75
36,2024-01-01,1,36,2,52454.80,1.95
37,2024-01-01,2,1,2,32081.00,2.90
38,2024-01-01,2,2,2,35651.00,1.70
39,2024-01-01,2,3,2,38871.00,2.55
40,2024-01-01,2,4,2,42391.00,1.80
41,2024-01-01,2,5,2,45536.00,1.80
42,2024-01-01,2,6,2,48031.00,1.85
43,2024-01-01,2,7,2,51876.00,3.45
44,2024-01-01,2,8,2,54471.00,3.25
45,2024-01-01,2,9,2,57716.00,2.05
46,2024-01-01,2,10,2,36683.00,1.75
47,2024-01-01,2,11,2,37668.00,2.55
48,2024-01-01,2,12,2,40153.00,3.25
49,2024-01-01,2,13,2,42238.00,3.00
50,2024-01-01,2,14,2,43448.00,2.85
51,2024-01-01,2,15,2,45258.00,1.90
52,2024-01-01,2,16,2,47718.00,3.45
53,2024-01-01,2,17,2,48703.00,3.10
54,2024-01-01,2,18,2,50588.00,2.05
55,2024-01-01,2,19,2,39733.80,3.00
56,2024-01-01,2,20,2,41599.80,3.50
57,2024-01-01,2,21,2,43665.80,2.10
58,2024-01-01,2,22,2,45206.80,3.40
59,2024-01-01,2,23,2,45672.80,2.35
60,2024-01-01,2,24,2,47113.80,1.95
61,2024-01-01,2,25,2,48554.80,3.25
62,2024-01-01,2,26,2,49920.80,2.10
63,2024-01-01,2,27,2,51336.80,1.80
64,2024-01-01,2,28,2,43336.60,2.50
65,2024-01-01,2,29,2,44063.60,3.45
66,2024-01-01,2,30,2,45290.60,2.65
67,2024-01-01,2,31,2,47092.60,1.85
68,2024-01-01,2,32,2,47869.60,1.90
69,2024-01-01,2,33,2,49171.60,3.10
70,2024-01-01,2,34,2,49598.60,2.20
71,2024-01-01,2,35,2,50825.60,3.40
72,2024-01-01,2,36,2,52352.60,2.15
73,2024-01-01,3,1,2,33224.00,3.00
74,2024-01-01,3,2,2,36044.00,2.80
75,2024-01-01,3,3,2,39789.00,3.10
76,2024-01-01,3,4,2,42309.00,3.55
77,2024-01-01,3,5,2,45779.00,3.80
78,2024-01-01,3,6,2,49099.00,2.60
79,2024-01-01,3,7,2,51469.00,2.55
80,2024-01-01,3,8,2,54314.00,3.50
81,2024-01-01,3,9,2,58184.00,3.70
82,2024-01-01,3,10,2,36087.00,3.85
83,2024-01-01,3,11,2,38522.00,3.00
84,2024-01-01,3,12,2,40207.00,3.80
85,2024-01-01,3,13,2,42567.00,2.15
86,2024-01-01,3,14,2,44102.00,3.75
87,2024-01-01,3,15,2,45212.00,3.85
88,2024-01-01,3,16,2,48122.00,2.70
89,2024-01-01,3,17,2,49532.00,3.80
90,2024-01-01,3,18,2,51467.00,2.90
91,2024-01-01,3,19,2,40171.20,3.60
92,2024-01-01,3,20,2,41487.20,3.90
93,2024-01-01,3,21,2,43228.20,3.00
94,2024-01-01,3,22,2,45019.20,3.10
95,2024-01-01,3,23,2,46310.20,2.85
96,2024-01-01,3,24,2,47376.20,3.75
97,2024-01-01,3,25,2,49592.20,3.80
98,2024-01-01,3,26,2,49958.20,3.50
99,2024-01-01,3,27,2,51249.20,3.70
100,2024-01-01,3,28,2,42959.40,2.55
101,2024-01-01,3,29,2,44336.40,3.50
102,2024-01-01,3,30,2,45113.40,2.30
103,2024-01-01,3,31,2,46965.40,2.90
104,2024-01-01,3,32,2,47642.40,3.55
105,2024-01-01,3,33,2,49694.40,2.35
106,2024-01-01,3,34,2,50646.40,3.50
107,2024-01-01,3,35,2,51773.40,3.10
108,2024-01-01,3,36,2,52250.40,3.90
109,2024-01-01,4,1,2,33692.00,2.80
110,2024-01-01,4,2,2,36337.00,3.35
111,2024-01-01,4,3,2,40357.00,3.25
112,2024-01-01,4,4,2,42527.00,4.20
113,2024-01-01,4,5,2,45847.00,3.55
114,2024-01-01,4,6,2,48617.00,2.95
115,2024-01-01,4,7,2,51737.00,3.75
116,2024-01-01,4,8,2,55632.00,3.65
117,2024-01-01,4,9,2,58252.00,4.30
118,2024-01-01,4,10,2,36141.00,3.35
119,2024-01-01,4,11,2,38876.00,4.00
120,2024-01-01,4,12,2,40611.00,4.20
121,2024-01-01,4,13,2,42346.00,2.90
122,2024-01-01,4,14,2,44831.00,3.75
123,2024-01-01,4,15,2,45841.00,3.25
124,2024-01-01,4,16,2,48401.00,3.65
125,2024-01-01,4,17,2,50111.00,3.25
126,2024-01-01,4,18,2,51896.00,3.55
127,2024-01-01,4,19,2,41008.60,4.30
128,2024-01-01,4,20,2,42699.60,4.15
129,2024-01-01,4,21,2,43490.60,4.25
130,2024-01-01,4,22,2,45056.60,4.40
131,2024-01-01,4,23,2,45872.60,3.45
132,2024-01-01,4,24,2,47513.60,4.30
133,2024-01-01,4,25,2,49279.60,3.70
134,2024-01-01,4,26,2,50595.60,3.60
135,2024-01-01,4,27,2,51686.60,3.85
136,2024-01-01,4,28,2,43357.20,3.95
137,2024-01-01,4,29,2,44834.20,3.65
138,2024-01-01,4,30,2,45586.20,2.90
139,2024-01-01,4,31,2,46888.20,3.00
140,2024-01-01,4,32,2,48390.20,3.85
141,2024-01-01,4,33,2,49517.20,2.90
142,2024-01-01,4,34,2,50219.20,3.25
143,2024-01-01,4,35,2,50921.20,3.05
144,2024-01-01,4,36,2,52623.20,4.15
145,2024-01-01,5,1,2,33535.00,0.90
146,2024-01-01,5,2,2,36730.00,1.90
147,2024-01-01,5,3,2,40650.00,1.30
148,2024-01-01,5,4,2,43045.00,2.00
149,2024-01-01,5,5,2,47015.00,1.25
150,2024-01-01,5,6,2,49610.00,2.30
151,2024-01-01,5,7,2,52405.00,1.50
152,2024-01-01,5,8,2,56400.00,0.80
153,2024-01-01,5,9,2,58520.00,2.50
154,2024-01-01,5,10,2,36695.00,2.15
155,2024-01-01,5,11,2,38780.00,1.00
156,2024-01-01,5,12,2,40965.00,1.40
157,2024-01-01,5,13,2,42200.00,1.50
158,2024-01-01,5,14,2,44460.00,1.20
159,2024-01-01,5,15,2,46495.00,1.35
160,2024-01-01,5,16,2,48305.00,1.60
161,2024-01-01,5,17,2,50190.00,1.35
162,2024-01-01,5,18,2,51625.00,1.70
163,2024-01-01,5,19,2,41571.00,1.00
164,2024-01-01,5,20,2,42387.00,2.10
165,2024-01-01,5,21,2,44128.00,1.00
166,2024-01-01,5,22,2,45594.00,1.45
167,2024-01-01,5,23,2,47260.00,1.00
168,2024-01-01,5,24,2,47876.00,0.90
169,2024-01-01,5,25,2,50092.00,1.60
170,2024-01-01,5,26,2,51458.00,1.65
171,2024-01-01,5,27,2,52499.00,1.80
172,2024-01-01,5,28,2,43480.00,1.00
173,2024-01-01,5,29,2,44382.00,2.25
174,2024-01-01,5,30,2,46159.00,1.05
175,2024-01-01,5,31,2,47536.00,1.20
176,2024-01-01,5,32,2,48013.00,2.15
177,2024-01-01,5,33,2,49165.00,1.15
178,2024-01-01,5,34,2,51242.00,1.10
179,2024-01-01,5,35,2,52319.00,1.25
180,2024-01-01,5,36,2,53021.00,2.35
181,2024-01-01,6,1,2,34503.00,1.30
182,2024-01-01,6,2,2,37748.00,1.95
183,2024-01-01,6,3,2,40843.00,2.20
184,2024-01-01,6,4,2,44488.00,1.35
185,2024-01-01,6,5,2,46358.00,2.50
186,2024-01-01,6,6,2,50603.00,2.80
187,2024-01-01,6,7,2,53273.00,1.50
188,2024-01-01,6,8,2,56168.00,2.00
189,2024-01-01,6,9,2,58988.00,2.35
190,2024-01-01,6,10,2,37274.00,2.05
191,2024-01-01,6,11,2,38734.00,1.30
192,2024-01-01,6,12,2,41194.00,2.30
193,2024-01-01,6,13,2,42629.00,1.30
194,2024-01-01,6,14,2,44364.00,2.15
195,2024-01-01,6,15,2,46974.00,2.55
196,2024-01-01,6,16,2,48409.00,2.80
197,2024-01-01,6,17,2,50894.00,2.95
198,2024-01-01,6,18,2,51629.00,3.05
199,2024-01-01,6,19,2,41458.40,2.80
200,2024-01-01,6,20,2,43124.40,2.65
201,2024-01-01,6,21,2,44440.40,1.45
202,2024-01-01,6,22,2,45031.40,2.90
203,2024-01-01,6,23,2,46697.40,2.60
204,2024-01-01,6,24,2,47863.40,1.25
205,2024-01-01,6,25,2,49429.40,2.25
206,2024-01-01,6,26,2,50920.40,1.65
207,2024-01-01,6,27,2,53136.40,1.65
208,2024-01-01,6,28,2,44302.80,1.35
209,2024-01-01,6,29,2,44529.80,2.25
210,2024-01-01,6,30,2,46331.80,1.95
211,2024-01-01,6,31,2,47258.80,2.35
212,2024-01-01,6,32,2,48860.80,1.35
213,2024-01-01,6,33,2,49212.80,1.95
214,2024-01-01,6,34,2,51039.80,1.80
215,2024-01-01,6,35,2,52191.80,2.00
216,2024-01-01,6,36,2,52868.80,2.00
217,2024-01-01,7,1,2,34596.00,2.80
218,2024-01-01,7,2,2,37641.00,2.70
219,2024-01-01,7,3,2,41811.00,1.70
220,2024-01-01,7,4,2,43906.00,2.65
221,2024-01-01,7,5,2,47076.00,3.20
222,2024-01-01,7,6,2,51246.00,3.45
223,2024-01-01,7,7,2,53291.00,3.10
224,2024-01-01,7,8,2,57086.00,3.45
225,2024-01-01,7,9,2,59881.00,3.25
226,2024-01-01,7,10,2,38003.00,3.05
227,2024-01-01,7,11,2,38888.00,3.00
228,2024-01-01,7,12,2,41423.00,2.15
229,2024-01-01,7,13,2,42958.00,3.50
230,2024-01-01,7,14,2,45693.00,2.90
231,2024-01-01,7,15,2,46978.00,1.85
232,2024-01-01,7,16,2,48563.00,3.20
233,2024-01-01,7,17,2,51223.00,1.85
234,2024-01-01,7,18,2,52508.00,2.70
235,2024-01-01,7,19,2,41145.80,2.65
236,2024-01-01,7,20,2,42861.80,3.45
237,2024-01-01,7,21,2,44027.80,3.45
238,2024-01-01,7,22,2,45768.80,2.70
239,2024-01-01,7,23,2,46759.80,1.70
240,2024-01-01,7,24,2,48750.80,3.40
241,2024-01-01,7,25,2,49941.80,2.10
242,2024-01-01,7,26,2,51332.80,3.10
243,2024-01-01,7,27,2,52698.80,2.65
244,2024-01-01,7,28,2,44450.60,2.40
245,2024-01-01,7,29,2,45452.60,3.05
246,2024-01-01,7,30,2,46779.60,2.75
247,2024-01-01,7,31,2,48056.60,2.10
248,2024-01-01,7,32,2,48583.60,2.50
249,2024-01-01,7,33,2,50110.60,3.05
250,2024-01-01,7,34,2,50812.60,2.55
251,2024-01-01,7,35,2,52439.60,1.70
252,2024-01-01,7,36,2,53416.60,1.85
253,2024-01-01,8,1,2,36064.00,2.65
254,2024-01-01,8,2,2,39034.00,3.25
255,2024-01-01,8,3,2,41254.00,2.65
256,2024-01-01,8,4,2,45174.00,3.55
257,2024-01-01,8,5,2,47969.00,2.85
258,2024-01-01,8,6,2,50614.00,3.95
259,2024-01-01,8,7,2,54609.00,3.60
260,2024-01-01,8,8,2,56854.00,2.70
261,2024-01-01,8,9,2,60874.00,2.85
262,2024-01-01,8,10,2,38307.00,3.00
263,2024-01-01,8,11,2,40292.00,3.20
264,2024-01-01,8,12,2,41577.00,2.90
265,2024-01-01,8,13,2,43062.00,2.35
266,2024-01-01,8,14,2,45472.00,2.25
267,2024-01-01,8,15,2,47282.00,3.25
268,2024-01-01,8,16,2,49417.00,2.50
269,2024-01-01,8,17,2,50277.00,3.45
270,2024-01-01,8,18,2,52812.00,3.95
271,2024-01-01,8,19,2,42008.20,3.35
272,2024-01-01,8,20,2,43124.20,2.60
273,2024-01-01,8,21,2,44365.20,3.20
274,2024-01-01,8,22,2,46331.20,2.40
275,2024-01-01,8,23,2,47122.20,3.70
276,2024-01-01,8,24,2,48863.20,3.80
277,2024-01-01,8,25,2,50479.20,3.35
278,2024-01-01,8,26,2,50845.20,3.20
279,2024-01-01,8,27,2,52861.20,3.05
280,2024-01-01,8,28,2,43923.40,3.60
281,2024-01-01,8,29,2,45100.40,3.55
282,2024-01-01,8,30,2,46927.40,3.90
283,2024-01-01,8,31,2,47004.40,3.20
284,2024-01-01,8,32,2,49181.40,2.20
285,2024-01-01,8,33,2,50483.40,3.15
286,2024-01-01,8,34,2,51085.40,2.45
287,2024-01-01,8,35,2,52387.40,3.40
288,2024-01-01,8,36,2,52814.40,2.60
289,2024-01-01,9,1,2,35382.00,4.40
290,2024-01-01,9,2,2,38402.00,3.05
291,2024-01-01,9,3,2,42722.00,4.30
292,2024-01-01,9,4,2,44817.00,4.10
293,2024-01-01,9,5,2,48662.00,3.90
294,2024-01-01,9,6,2,51932.00,4.30
295,2024-01-01,9,7,2,54177.00,2.85
296,2024-01-01,9,8,2,58022.00,3.90
297,2024-01-01,9,9,2,60592.00,4.15
298,2024-01-01,9,10,2,37936.00,4.10
299,2024-01-01,9,11,2,39571.00,2.70
300,2024-01-01,9,12,2,41706.00,2.75
301,2024-01-01,9,13,2,44191.00,2.60
302,2024-01-01,9,14,2,46176.00,3.00
303,2024-01-01,9,15,2,47236.00,4.20
304,2024-01-01,9,16,2,49871.00,3.25
305,2024-01-01,9,17,2,50856.00,3.55
306,2024-01-01,9,18,2,53691.00,4.35
307,2024-01-01,9,19,2,41670.60,4.10
308,2024-01-01,9,20,2,43286.60,3.20
309,2024-01-01,9,21,2,44652.60,4.15
310,2024-01-01,9,22,2,46593.60,3.85
311,2024-01-01,9,23,2,47334.60,4.05
312,2024-01-01,9,24,2,49325.60,2.90
313,2024-01-01,9,25,2,50541.60,4.05
314,2024-01-01,9,26,2,51057.60,2.85
315,2024-01-01,9,27,2,53023.60,3.85
316,2024-01-01,9,28,2,44171.20,3.25
