ForecastKey,Date,DepartmentKey,AccountKey,ScenarioKey,ForecastAmount
1,2024-01-01,1,1,3,32009.74
2,2024-01-01,1,2,3,35787.33
3,2024-01-01,1,3,3,38559.78
4,2024-01-01,1,4,3,40489.02
5,2024-01-01,1,5,3,45790.86
6,2024-01-01,1,6,3,47685.13
7,2024-01-01,1,7,3,52306.49
8,2024-01-01,1,8,3,54598.56
9,2024-01-01,1,9,3,57113.48
10,2024-01-01,1,10,3,35433.13
11,2024-01-01,1,11,3,38009.28
12,2024-01-01,1,12,3,40373.74
13,2024-01-01,1,13,3,42135.18
14,2024-01-01,1,14,3,42189.18
15,2024-01-01,1,15,3,44593.92
16,2024-01-01,1,16,3,45967.33
17,2024-01-01,1,17,3,48038.28
18,2024-01-01,1,18,3,49211.98
19,2024-01-01,1,19,3,39378.51
20,2024-01-01,1,20,3,41098.65
21,2024-01-01,1,21,3,43054.68
22,2024-01-01,1,22,3,42601.82
23,2024-01-01,1,23,3,46540.96
24,2024-01-01,1,24,3,48977.94
25,2024-01-01,1,25,3,49217.40
26,2024-01-01,1,26,3,51063.98
27,2024-01-01,1,27,3,51989.14
28,2024-01-01,1,28,3,43039.94
29,2024-01-01,1,29,3,44768.62
30,2024-01-01,1,30,3,45644.73
31,2024-01-01,1,31,3,45564.90
32,2024-01-01,1,32,3,48527.27
33,2024-01-01,1,33,3,49059.54
34,2024-01-01,1,34,3,50873.32
35,2024-01-01,1,35,3,50987.77
36,2024-01-01,1,36,3,52979.35
37,2024-01-01,2,1,3,32081.00
38,2024-01-01,2,2,3,36007.51
39,2024-01-01,2,3,3,38093.58
40,2024-01-01,2,4,3,41967.09
41,2024-01-01,2,5,3,46446.72
42,2024-01-01,2,6,3,47550.69
43,2024-01-01,2,7,3,51876.00
44,2024-01-01,2,8,3,56105.13
45,2024-01-01,2,9,3,58293.16
46,2024-01-01,2,10,3,35949.34
47,2024-01-01,2,11,3,37291.32
48,2024-01-01,2,12,3,39751.47
49,2024-01-01,2,13,3,42238.00
50,2024-01-01,2,14,3,42579.04
51,2024-01-01,2,15,3,44352.84
52,2024-01-01,2,16,3,46763.64
53,2024-01-01,2,17,3,47728.94
54,2024-01-01,2,18,3,51093.88
55,2024-01-01,2,19,3,38939.12
56,2024-01-01,2,20,3,40767.80
57,2024-01-01,2,21,3,44539.12
58,2024-01-01,2,22,3,46563.00
59,2024-01-01,2,23,3,46129.53
60,2024-01-01,2,24,3,48056.08
61,2024-01-01,2,25,3,47098.16
62,2024-01-01,2,26,3,51418.42
63,2024-01-01,2,27,3,52363.54
64,2024-01-01,2,28,3,44636.70
65,2024-01-01,2,29,3,43182.33
66,2024-01-01,2,30,3,46649.32
67,2024-01-01,2,31,3,47563.53
68,2024-01-01,2,32,3,48348.30
69,2024-01-01,2,33,3,50646.75
70,2024-01-01,2,34,3,51086.56
71,2024-01-01,2,35,3,50825.60
72,2024-01-01,2,36,3,51829.07
73,2024-01-01,3,1,3,33556.24
74,2024-01-01,3,2,3,34962.68
75,2024-01-01,3,3,3,38993.22
76,2024-01-01,3,4,3,41039.73
77,2024-01-01,3,5,3,47152.37
78,2024-01-01,3,6,3,50571.97
79,2024-01-01,3,7,3,50439.62
80,2024-01-01,3,8,3,54857.14
81,2024-01-01,3,9,3,59929.52
82,2024-01-01,3,10,3,35726.13
83,2024-01-01,3,11,3,38907.22
84,2024-01-01,3,12,3,40207.00
85,2024-01-01,3,13,3,41289.99
86,2024-01-01,3,14,3,43660.98
87,2024-01-01,3,15,3,44307.76
88,2024-01-01,3,16,3,48603.22
89,2024-01-01,3,17,3,50027.32
90,2024-01-01,3,18,3,51467.00
91,2024-01-01,3,19,3,40974.62
92,2024-01-01,3,20,3,42731.82
