ActualKey,Date,DepartmentKey,CostCenterKey,AccountKey,ScenarioKey,Amount,FTE,CommentCode
1,2024-01-01,1,1,1,1,42449.28,2.70,BASE
2,2024-01-01,1,1,2,1,48706.40,2.20,BASE
3,2024-01-01,1,1,3,1,52963.52,2.40,SEASONAL
4,2024-01-01,1,1,4,1,59320.64,2.50,PROJECT
5,2024-01-01,1,1,5,1,64727.76,2.20,TREND
6,2024-01-01,1,1,6,1,69109.88,3.30,PROJECT
7,2024-01-01,1,1,7,1,74642.00,3.35,SEASONAL
8,2024-01-01,1,1,8,1,80099.12,2.20,SEASONAL
9,2024-01-01,1,1,9,1,84856.24,1.95,PROJECT
10,2024-01-01,1,1,10,1,51857.64,1.80,BASE
11,2024-01-01,1,1,11,1,54365.28,2.85,TREND
12,2024-01-01,1,1,12,1,58522.92,1.95,SEASONAL
13,2024-01-01,1,1,13,1,61380.56,2.85,BASE
14,2024-01-01,1,1,14,1,63813.20,1.60,SEASONAL
15,2024-01-01,1,1,15,1,67670.84,1.40,PROJECT
16,2024-01-01,1,1,16,1,70653.48,2.65,BASE
17,2024-01-01,1,1,17,1,73436.12,3.05,SEASONAL
18,2024-01-01,1,1,18,1,75668.76,1.10,SEASONAL
19,2024-01-01,1,1,19,1,59376.05,2.30,TREND
20,2024-01-01,1,1,20,1,61525.53,1.20,BASE
21,2024-01-01,1,1,21,1,63325.01,2.95,BASE
22,2024-01-01,1,1,22,1,65649.49,2.15,BASE
23,2024-01-01,1,1,23,1,68698.97,1.00,BASE
24,2024-01-01,1,1,24,1,70523.45,3.15,SEASONAL
25,2024-01-01,1,1,25,1,72947.93,1.95,BASE
26,2024-01-01,1,1,26,1,74822.41,1.70,SEASONAL
27,2024-01-01,1,1,27,1,76621.89,3.15,SEASONAL
28,2024-01-01,1,1,28,1,59716.02,1.45,SEASONAL
29,2024-01-01,1,1,29,1,61596.88,1.05,TREND
30,2024-01-01,1,1,30,1,63752.74,1.05,BASE
31,2024-01-01,1,1,31,1,65283.60,1.40,SEASONAL
32,2024-01-01,1,1,32,1,66739.46,1.65,BASE
33,2024-01-01,1,1,33,1,68395.32,2.65,SEASONAL
34,2024-01-01,1,1,34,1,70551.18,1.05,PROJECT
35,2024-01-01,1,1,35,1,71957.04,2.70,PROJECT
36,2024-01-01,1,1,36,1,73862.90,1.45,BASE
37,2024-01-01,1,2,1,1,42620.04,2.80,SEASONAL
38,2024-01-01,1,2,2,1,48952.16,3.00,BASE
39,2024-01-01,1,2,3,1,53909.28,1.40,PROJECT
40,2024-01-01,1,2,4,1,58016.40,2.30,BASE
41,2024-01-01,1,2,5,1,63773.52,3.00,PROJECT
42,2024-01-01,1,2,6,1,69005.64,3.35,TREND
43,2024-01-01,1,2,7,1,74187.76,2.45,BASE
44,2024-01-01,1,2,8,1,80744.88,1.20,SEASONAL
45,2024-01-01,1,2,9,1,85552.00,3.30,PROJECT
46,2024-01-01,1,2,10,1,51448.07,2.95,PROJECT
47,2024-01-01,1,2,11,1,55505.71,1.70,PROJECT
48,2024-01-01,1,2,12,1,58113.35,3.00,SEASONAL
49,2024-01-01,1,2,13,1,60470.99,2.80,PROJECT
50,2024-01-01,1,2,14,1,63553.63,2.30,SEASONAL
51,2024-01-01,1,2,15,1,67361.27,1.95,TREND
52,2024-01-01,1,2,16,1,70268.91,2.45,TREND
53,2024-01-01,1,2,17,1,73351.55,1.95,TREND
54,2024-01-01,1,2,18,1,75459.19,3.10,PROJECT
55,2024-01-01,1,2,19,1,59731.37,1.25,SEASONAL
56,2024-01-01,1,2,20,1,61805.85,1.30,TREND
57,2024-01-01,1,2,21,1,64030.33,2.50,PROJECT
58,2024-01-01,1,2,22,1,66404.81,2.65,TREND
59,2024-01-01,1,2,23,1,68454.29,1.05,SEASONAL
60,2024-01-01,1,2,24,1,71078.77,3.05,BASE
61,2024-01-01,1,2,25,1,72553.25,3.35,PROJECT
62,2024-01-01,1,2,26,1,74427.73,3.10,BASE
63,2024-01-01,1,2,27,1,77052.21,1.70,TREND
64,2024-01-01,1,2,28,1,59463.77,2.00,TREND
65,2024-01-01,1,2,29,1,62244.63,2.40,BASE
66,2024-01-01,1,2,30,1,63950.49,1.05,TREND
67,2024-01-01,1,2,31,1,64581.35,3.05,BASE
68,2024-01-01,1,2,32,1,66562.21,2.40,SEASONAL
69,2024-01-01,1,2,33,1,68618.07,1.85,SEASONAL
70,2024-01-01,1,2,34,1,69848.93,1.30,TREND
71,2024-01-01,1,2,35,1,71879.79,1.20,BASE
72,2024-01-01,1,2,36,1,74185.65,2.40,BASE
73,2024-01-01,2,3,1,1,42215.80,1.80,TREND
74,2024-01-01,2,3,2,1,48472.92,2.95,TREND
75,2024-01-01,2,3,3,1,52780.04,3.40,PROJECT
76,2024-01-01,2,3,4,1,58987.16,1.80,BASE
77,2024-01-01,2,3,5,1,63244.28,2.95,TREND
78,2024-01-01,2,3,6,1,69226.40,3.30,BASE
79,2024-01-01,2,3,7,1,74833.52,3.75,PROJECT
80,2024-01-01,2,3,8,1,80290.64,2.90,SEASONAL
81,2024-01-01,2,3,9,1,85497.76,1.35,TREND
82,2024-01-01,2,3,10,1,51238.51,3.00,BASE
83,2024-01-01,2,3,11,1,55346.15,3.70,SEASONAL
84,2024-01-01,2,3,12,1,57228.79,3.65,TREND
85,2024-01-01,2,3,13,1,61436.43,2.90,TREND
86,2024-01-01,2,3,14,1,64619.07,1.60,BASE
87,2024-01-01,2,3,15,1,67201.71,3.45,BASE
88,2024-01-01,2,3,16,1,70709.35,2.90,TREND
89,2024-01-01,2,3,17,1,72791.99,3.35,PROJECT
90,2024-01-01,2,3,18,1,76074.63,3.35,BASE
91,2024-01-01,2,3,19,1,58786.70,1.70,BASE
92,2024-01-01,2,3,20,1,61336.18,3.45,SEASONAL
93,2024-01-01,2,3,21,1,64085.66,1.80,TREND
94,2024-01-01,2,3,22,1,65460.14,1.80,SEASONAL
95,2024-01-01,2,3,23,1,68434.62,1.95,BASE
96,2024-01-01,2,3,24,1,70709.10,3.50,PROJECT
97,2024-01-01,2,3,25,1,72558.58,3.60,PROJECT
98,2024-01-01,2,3,26,1,75833.06,2.70,SEASONAL
99,2024-01-01,2,3,27,1,77782.54,3.70,TREND
100,2024-01-01,2,3,28,1,60161.51,2.15,PROJECT
101,2024-01-01,2,3,29,1,61567.37,1.40,BASE
102,2024-01-01,2,3,30,1,62723.23,3.70,PROJECT
103,2024-01-01,2,3,31,1,64954.09,1.35,TREND
